raw data,blank,Item Name,first res (num + symb),first res (symb),first res type,second res (num + symb),second res (symb),second res type,third res (num + symb),third res (symb),third res type,fourth res (num + symb),fourth res (symb),fourth res type
"['dark-water.png', '“Cost: 200 €,, 18 30s J']",,dark-water.png,"200 €,,","€,,",food,18,none,favor,30s J,J,time(s),,,
"['daughters-of-the-sea.png', '(A p] “Cost: 150 ge. 15 &, 30s (¥']",,daughters-of-the-sea.png,150 ge.,ge.,gold,"15 &,","&,",favor,30s (¥,(¥,time(s),,,
"['deadly-rage.png', '+ Cost: 150 gu. 16 & , 40s gi']",,deadly-rage.pn,150 gu.,gu.,gold,"16 & ,","& ,",favor,40s gi,gi,time(s),,,
"['deadly-snare.png', '+ Cost: 150 gu. 14 & , 30s gi']",,'deadly-snare.png,150 gu.,gu.,gold,"14 & ,","& ,",favor,30s gi,gi,time(s),,,
"[""deimos'-sword-of-dread.png"", '+ Cost: 150 ga, 10 20s ¥']",,,,,,,,,,,,,,
"['den-den-drums.png', '+ Cost: 300 ge, 10 & , 30s gi']",,,,,,,,,,,,,,
"['desert-wind.png', '+ Cost: 300 ge, 30 & , 40s gi']",,,,,,,,,,,,,,
"['devotees-of-atlas.png', '+ Cost: 50 G,,100 @.5 & , 40s vi']",,,,,,,,,,,,,,
"['dionysia.png', '+ Cost: 150 ¢%,20 40s']",,,,,,,,,,,,,,
"['disablot.png', '+ Cost: 200 ga, 10 & , 40s gi']",,,,,,,,,,,,,,
"['divine-blood.png', '+ Cost: 100 G.,25 & ,30s ¥']",,,,,,,,,,,,,,
"['divine-books.png', '+ Cost: 125 gy, 10 & , 20s gi']",,,,,,,,,,,,,,
"['divine-judgment.png', '+ Cost: 150 gz, 150 ge, 30 & , 50s zi']",,,,,,,,,,,,,,
"['divine-prefecture.png', 'Cost: 175 gu.25 20s ¥']",,,,,,,,,,,,,,
"['draft-horses-norse.png', '+ Cost: 300 G., 200 gp , 40s i']",,,,,,,,,,,,,,
"['dragonscale-shields.png', '+ Cost: 500 gz, 500 gy, 60s 4']",,,,,,,,,,,,,,
"['drought-ships.png', '+ Cost: 150 gg, 150 ge, 20 30s ¥']",,,,,,,,,,,,,,
"['dwarven-auger.png', 'Cost: 150 gu.15 40s ¥']",,,,,,,,,,,,,,
"['dwarven-breastplate.png', '- Cost: 150 gu. 10 30s']",,,,,,,,,,,,,,
"['dwarven-mine.png', '']",,,,,,,,,,,,,,
"['dwarven-weapons.png', '“Cost: 500 €_, 500 ga, 60s']",,,,,,,,,,,,,,
