,Type,Sub_Type,Faction,Name,Prefixes,Suffixes,Food Cost,Wood Cost,Gold Cost,Favor Cost,Cost,Pop Cost,Training Time,Hitpoints,Line of Sight,Attack Type,Rate of fire,Bonus Multiplier,Maximum range,Hack Damage,Pierce Damage,Divine Damage,Crush Damage,Total Damage,Attack Speed,Multiplier 1,Multiplier 2,Multiplier 3,Hack Armor,Pierce Armor,Crush Armor,Range,Velocity,Description,DPS,DPS (Crush),DPS Per Cost,DPS Per Pop,HP Per Cost,HP Per Pop,Hack HP Per Cost,Pierce HP Per Cost, Crush Damage, Divine Damage
10,unit,Ranged Siege,Atlantean,cheiroballista,,,,115,100,,215,4,24,105,22,Ranged Attack,2," AbstractInfantry:  5.00,  Ship:  3.00",17,,3,,,12,2,4.0x infantry and 3x ships,,,20,50,85,20,3.8,,6, -   ,0.028,1.5,0.4,21.25,0.53,0.79,,
11,unit,Ranged Siege Hero,Atlantean,cheiroballista (hero),,,,200,175,4,375,4,32,120,22,Ranged Attack,2," AbstractInfantry:  5.00,  MythUnit:  8.00,  Ship:  3.00",17,,4,,,4,2,3.5x Infrantry,3x Ships,8x MU,20,50,85,20,4.1,,2, -   ,0.005,0.5,0.31,28.75,0.41,0.61,,
12,unit,Infantry,Greek,hoplite,,,50,,40,,90,2,12,115,16,Melee Attack,1," AbstractCavalry:  1.25,  Building:  1.60",0.75,8,,,,7.5,1,1.25x cavalry,,,40,15,99,,4.3,,7.5, -   ,0.083,3.75,1.28,57.5,2.13,1.5,,
13,unit,Hero,Atlantean,contarius (hero),,,115,,70,3,175,3,25,155,16,Melee Attack,1.5," MythUnit:  7.00,  AbstractArcher:  1.50",1,15,,,,15,1.5,"1,5x Ranged",7x MU,,15,45,99,1,6.05,,10, -   ,0.057,3.33,0.89,51.67,1.04,1.48,,
14,unit,Siege Infantry,Atlantean,destroyer,,,70,,60,,130,3,7,150,16,Melee Attack,1.2, Building:  9.60,1.5,6,,,,6,1.2,6x buildings,,,30,70,99,1.5,3.6,,5, -   ,0.038,1.67,1.15,50,1.65,3.85,,
15,unit,Siege Infantry Hero,Atlantean,destroyer (hero),,,125,,105,3,230,3,19,165,18,Melee Attack,1.2," Building:  9.60,  MythUnit:  11.00",1.5,7,,,,3.9,1.2,6x Building,11x MU,,30,70,99,,3.9,,3.25, -   ,0.014,1.08,0.72,55,1.02,2.39,,
16,unit,Myth,Atlantean,dryad,,,,175,,,150,0,13,275,16,Melee Attack,1.5, Hero:  0.50,0.5,22,,,,22,1.5,"0,5 x Hero",,,40,50,80,,4.5,,14.67, -   ,0.098, -   ,1.83, -   ,3.06,3.67,,
17,unit,Infantry,Atlantean,katapeltes,,,60,,35,,95,2,10,115,14,Melee Attack,1.2," AbstractCavalry:  4.00,  Building:  1.60",0.75,6,,,,6,1.2,4x cavalry,,,35,10,99,,4.5,,5, -   ,0.053,2.5,1.21,57.5,1.86,1.35,,
18,unit,Hero,Atlantean,fanatic (hero),,,130,,95,3,225,3,19,170,18,Melee Attack,1," AbstractInfantry:  1.50,  AbstractCavalry:  1.50,  MythUnit:  6.00",0.5,12,,,,9,1,2x Infrantry,2x Cavalry,8x MU,40,15,99,,4.6,,9, -   ,0.04,3,0.69,51.67,1.15,0.81,,
19,unit,Close Combat Ship,Atlantean,fire ship,,,,100,50,,150,3,16,320,16,Ranged Attack,1.5,,6,25,,,,20,1.5,,,,30,10,50,5,7,,13.33, -   ,0.089,4.44,2.13,106.67,3.05,2.37,,
20,unit,Siege,Atlantean,fire siphon,,,,275,180,,455,5,19,400,22,Wall Breaching,1.7,,,,20,,100,20,1.7,,,,5,90,85,16,2.9,,11.76,58.82,0.026,2.35,0.77,70,0.81,7.69,125,
21,unit,Cavalry,Norse,jarl,,,50,,80,,130,3,14,190,16,Melee Attack,1,,0.75,11,,,,10,1,,,,25,40,99,,4.8, Elite heavy cavalry. Good against human soldiers.   ,10, -   ,0.077,3.33,1.38,60,1.85,2.13,,
22,unit,Hero,Atlantean,katapeltes (hero),,,105,,60,2,165,2,19,130,16,Melee Attack,1.2," MythUnit:  9.00,  AbstractCavalry:  4.00,  Building:  1.60",0.75,7,,,,7,1.2,4x Cavalry,9x MU,,35,10,99,,4.8,,5.83, -   ,0.035,2.92,0.79,65,1.21,0.88,,
23,unit,Myth,Atlantean,lampades,,,,,220,22,250,4,20,350,16,Ranged Attack,2," MythUnit:  2.00,  Hero:  0.25",14,,24,,20,24,2,2x  MU," 0,25x Hero","0,5 x Hero",40,50,80,12,4.3,,12,10,0.048,3,1.4,87.5,2.33,2.8,,20
24,unit,Myth,Atlantean,man o war,,,250,,,15,250,4,10,900,,,,,,,,25,,25,3,3x MU,"0,25x Hero","0,25 x Hero",50%,70%,80%,12,6,,8.33, -   ,0.033,2.08,3.6,225,7.2,12,,
25,unit,Infantry,Atlantean,fanatic,,,75,,55,,130,3,7,155,16,Melee Attack,1," AbstractInfantry:  1.50,  AbstractCavalry:  1.50,  Building:  1.60",0.5,10.5,,,,8,1,2x infantry 2x cavalry,,,40,15,99,,4.3,,8, -   ,0.062,2.67,1.08,46.67,1.79,1.27,,
26,unit,Infantry Hero,Atlantean,murmillo (hero),,,95,,55,2,150,2,22,125,18,Melee Attack,0.8," MythUnit:  5.50,  Building:  1.60",0.5,7.5,10,,,18,0.8,"5,5x MU",,,40,10,99,,4.8,,22.5, -   ,0.15,11.25,0.83,62.5,1.39,0.93,,
27,unit,Myth,Atlantean,nerid,,,,,200,15,200,2,12,400,,,,,,25,,,,25,1,2x  MU,"0,5x Hero","0,5 x Hero",30%,50%,80%,,5,,25, -   ,0.125,12.5,2,200,2.86,4,,
28,unit,Infantry,Egypt,spearman,,,50,,25,,70,2,12,80,16,Melee Attack,1," AbstractCavalry:  1.50,  Building:  1.60",0.75,7,,,,6,1,1.75x cavalry,,,40,15,99,,5,,6, -   ,0.086,3,1.07,37.5,1.79,1.26,,
29,unit,Hero,Atlantean,oracle (hero),,,80,,120,1,200,1,19,105,,,,,,9,,,,9,1.5,6x MU,,,20%,50%,99%,,4.2,,6, -   ,0.03,6,0.53,105,0.66,1.05,,
30,unit,Myth,Atlantean,promethean,,,90,,,9,90,2,14,175,16,Melee Attack,1.1," MythUnit:  3.00,  Hero:  0.50",0.75,12,,,,12,1.1,3x MU,"0,5x Hero","0,5 x Hero",55,25,80,,4.3,,10.91, -   ,0.121,5.45,1.94,87.5,4.86,2.59,6,
31,unit,Myth,Atlantean,promethean (off spring),,,45,,,4,45,1,,80,,,,,,6,,,,6,1.1,"1,5xMU","0,5x Hero","0,5 x Hero",25%,35%,80%,,5.5,,5.45, -   ,0.121,5.45,1.78,80,2.37,2.74,,
32,unit,Myth,Atlantean,satyr,,,,250,,20,250,3,15,400,20,Ranged Attack,1," MythUnit:  3.00,  Hero:  0.25",18,,20,,,20,1,3xMU,"0,25 x Hero","0,25 x Villagers ",50,50,80,18,3.75,,20, -   ,0.08,6.67,1.6,133.33,3.2,3.2,,
33,unit,Arrow Ship,Atlantean,siege bireme,,,,100,50,,150,3,16,250,24,Flame Attack,2, AbstractArcherShip:  2.00,21,,2,,4*4,8,2,2x Archer Ships,,,10,60,10,20,4.8,,4, -   ,0.027,1.33,1.67,83.33,1.85,4.17,4,
34,unit,Myth,Atlantean,stymphalian bird,,,,200,50,25,220,3,10,400,17,Ranged Attack,1.8," MythUnit:  3.00,  Hero:  0.25",,,14,,,42,1.8,3x MU,"0,25x Hero",,15,45,80,15,3.8,,23.33, -   ,0.106,7.78,1.82,133.33,2.14,3.31,,
35,unit,Myth,Atlantean,tartarian spawn,,,,,,,0,,,350,,,,,,15,,,20,15,1,2x MU,"0,25x Hero",,40%,40%,80%,,3.8,,15,20, -   , -   , -   , -   , -   , -   ,,
36,unit,Infantry,Norse,hirdman,,,40,,45,,80,2,14,90,16,Melee Attack,1," AbstractCavalry:  4.00,  Building:  1.60",0.75,5,,,,4,1,4x cavalry,,,35,5,99,,4.8, Counter cavalry. Infantry only good against cavalry.   ,4, -   ,0.05,2,1.13,45,1.73,1.18,,
37,unit,Hero,Atlantean,turma (hero),,,,80,70,2,150,2,10+8,95,18,Ranged Attack,1.8," AbstractArcher:  4.00,  MythUnit:  8.00",14,,6.5,,,7,1.8,4x Ranged,8x MU,,15,40,99,12,5.3,,3.89, -   ,0.026,1.94,0.6,45,0.71,1,,
38,unit,Myth Unit,Atlantean,water carnivora,,,,,,25,0,0,,550,16,Melee Attack,1," AbstractVillager:  O.25,  Hero:  0.25",3,30,,,,30,1,"0,25 x Hero","0,25 x Villagers ",,35,30,30,,Immoveable,,30, -   , -   , -   , -   , -   , -   , -   ,,
39,unit,Myth Unit,Atlantean,centimanus,,,,,300,25,300,4,18,900,16,Melee Attack,1.5, Hero:  0.25,0.5,55,,,60,55,1.5,"0,25x Hero",,,60,60,80,,3.3,,36.67,40,0.122,12.22,2.83,283.33,7.08,7.08,80,
40,unit,Myth,Egypt,anubite,,,100,,,15,100,2,9,200,16,Melee Attack,0.8," MythUnit:  3.00,  Hero:  0.50",0.5,11,,,,11,0.8,3x MU,"0,5x Hero",,60,55,80,,5,,13.75, -   ,0.138,6.88,2,100,5,4.44,,
41,unit,Animal,Egypt,aurochs of set,,,,,,,0,2,,100,,,,,,6,,,,6,1,"0,5 x Building",,,20%,30%,99%,,4.5,,6, -   , -   ,3, -   ,50, -   , -   ,,
42,unit,Myth,Egypt,avenger,,,250,,,25,250,3,24,600,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",0.5,28,,,,28,1,"x3 MU 0,5x Hero",,,60,40,80,,5.5,,28, -   ,0.112,9.33,2.4,200,6,4,,
43,unit,Infantry,Greek,hypapist,,,60,,25,,85,2,10,95,,,,,,6,,,,6,1.2,5x infantry,,,35%,10%,99%,,4.3,,5, -   ,0.059,2.5,1.12,47.5,1.72,1.24,,
44,unit,Animal,Egypt,baboon of set,,,,,,3,0,1,3,20,,,,,,3,,,,3,1,"0,5x Buildings",,,35%,5%,99%,,3.3,,3, -   , -   ,3, -   ,20, -   , -   ,,
45,unit,Animal,Egypt,bear of set,,,,,,,0,1,,70,,,,,,5,,,,5,1.3,"0,5x Buildings",,,10%,30%,99%,,4.3,,3.85, -   , -   ,3.85, -   ,70, -   , -   ,,
46,unit,Animal,Egypt,boar of set,,,,,,,0,2,,70,,,,,,6,,,,6,1,"0,5x Buildings",,,20%,30%,99%,,5,,6, -   , -   ,3, -   ,35, -   , -   ,,
47,unit,Cavalry,Egypt,mercenary cavalry,,,,,120,,120,0,2,160,12,Melee Attack,1, AbstractArcher:  1.50,0.75,8,,,,7,1,"1,25x Ranged",,,20,35,99,,5.3,,7, -   ,0.058, -   ,1.33, -   ,1.67,2.05,,
48,unit,Animal,Egypt,caribou of set,,,,,,,0,2,,15,,,,,,4,,,,4,1.1,"0,5x Buildings",,,35%,0%,99%,,4,,3.64, -   , -   ,1.82, -   ,7.5, -   , -   ,,
49,unit,Siege,Egypt,catapult,,,,200,200,,400,5,26,115,36,Wall Breaching,4, Ship:  2.50,,,40,,200,40,4,"2,5 x Ship",,,30,90,85,,2.4,,10,50,0.025,2,0.29,23,0.41,2.88,250,
50,unit,Infantry,Greek,myrmidon,,,70,,50,,120,3,6,150,16,Melee Attack,1.4, Building:  1.60,0.5,,,10,,9,1.4,DIVINE DAMAGE,,,40,20,99,,4.3,,6.43, -   ,0.054,2.14,1.08,43.33,1.81,1.35,,
51,unit,Animal,Egypt,chicken of set,,,,,,,0,1,,4,,,,,,,,,,0,1,"0,5x Buildings",,,10%,0%,99%,,1.8,, -   , -   , -   , -   , -   ,4, -   , -   ,,
52,unit,Animal,Egypt,crocodile of set,,,,,,8,0,1,4,70,,,,,,5,,,,5,1.3,"0,5x Buildings",,,10%,30%,99%,,3.3,,3.85, -   , -   ,3.85, -   ,70, -   , -   ,,
53,unit,Animal,Egypt,crowned crane of set,,,,,,,0,1,,10,,,,,,4,,,,4,1.6,"0,5x Buildings",,,35%,20%,99%,,4,,2.5, -   , -   ,2.5, -   ,10, -   , -   ,,
54,unit,Animal,Egypt,deer of set,,,,,,,0,1,,15,,,,,,3,,,,3,1.1,"0,5x Buildings",,,35%,0%,99%,,4,,2.73, -   , -   ,2.73, -   ,15, -   , -   ,,
55,unit,Animal,Egypt,elephant of set,,,,,,18,0,2,8,270,,,,,,9,,,,9,1.4,"0,5x Buildings",,,20%,40%,99%,,3.3,,6.43, -   , -   ,3.21, -   ,135, -   , -   ,,
56,unit,Animal,Egypt,elk of set,,,,,,,0,1,,15,,,,,,4,,,,4,1.1,"0,5x Buildings",,,35%,0%,99%,,4,,3.64, -   , -   ,3.64, -   ,15, -   , -   ,,
57,unit,Animal,Egypt,gazelle of set,,,,,,4,0,1,3,15,,,,,,4,,,,4,1.1,"0,5x Buildings",,,35%,0%,99%,,4,,3.64, -   , -   ,3.64, -   ,15, -   , -   ,,
58,unit,Animal,Egypt,giraffe of set,,,,,,7,0,1,4,25,,,,,,5,,,,5,1.4,"0,5x Buildings",,,35%,5%,99%,,4,,3.57, -   , -   ,3.57, -   ,25, -   , -   ,,
59,unit,Hero,Egypt,hippopotamus of set,,,,,,10,0,1,6,100,,,,,,6,,,,6,1,"0,5x Buildings",,,10%,20%,99%,,4,,6, -   , -   ,6, -   ,100, -   , -   ,,
60,unit,Hero,Egypt,hyena of set,,,,,,5,0,1,4,45,,,,,,7,,,,7,1.8,"0,5x Buildings",,,20%,30%,99%,,4,,3.89, -   , -   ,3.89, -   ,45, -   , -   ,,
61,unit,Arrow Ship,Egypt,kebenit,,,,90,45,,135,3,16,290,20,Ranged Attack,1.5,,15,,8,,,24,1.5,,,,50,30,5,15,5.5,,16, -   ,0.119,5.33,2.15,96.67,4.3,3.07,,
62,unit,Myth,Egypt,leviathan,,,,,200,15,200,3,10,1020,16,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",2,38,,,,38,1.5,2x MU,"0,5x Hero",,40,60,80,,4.2,,25.33, -   ,0.127,8.44,5.1,340,8.5,12.75,,
63,unit,Hero,Egypt,lion of set,,,,,,,0,1,,45,,,,,,9,,,,9,2.2,"0,5x Buildings",,,20%,30%,99%,,5,,4.09, -   , -   ,4.09, -   ,45, -   , -   ,,
64,unit,Myth,Egypt,lost ship (ancestors),,,,,,,0,,,200,,,,,,,24,,,24,1.5,,,,25%,15%,5%,12,6,,16, -   , -   , -   , -   , -   , -   , -   ,,
65,unit,Infantry,Egypt,axemen,,,40,,30,,70,2,12,70,,,,,,5,,,,5,1,5x infantry,,,40%,5%,99%,,4.3,,5, -   ,0.071,2.5,1,35,1.67,1.05,,
66,unit,Cavalry,Atlantean,contarius,,,65,,40,,100,3,16,140,14,Melee Attack,1.5, AbstractArcher:  1.50,1,13.5,,,,13.5,1.5,1.5X Archers,,,15,45,99,1,5.75,,9, -   ,0.09,3,1.4,46.67,1.65,2.33,,
67,unit,Myth,Egypt,minion (ancestors),,,,,50,10,50,,,140,,,,,,8,,,,8,0.9,,,,35%,40%,80%,,5,,8.89, -   ,0.178, -   ,2.8, -   ,4.31,4.67,,
68,unit,Animal,Egypt,monkey of set,,,,,,,0,1,,29,,,,,,3,,,,3,1,"0,5x Buildings",,,35%,5%,99%,,3.3,,3, -   , -   ,3, -   ,29, -   , -   ,,
69,unit,Myth,Egypt,mummy,,,,275,,25,275,4,17,450,16,Ranged Attack,1.7," MythUnit:  3.00,  Hero:  0.25",12,,30,,,30,1.7,3x MU,"0,25 x Hero",,35,50,80,12,4,,17.65, -   ,0.064,4.41,1.64,112.5,2.52,3.27,,
70,unit,Myth,Egypt,petsuchos,,,,,200,15,200,3,20,480,22,None,,,,,10,2,,12,2,2x MU,"0,5x Hero",,40,45,80,20,3.6,,6, -   ,0.03,2,2.4,160,4,4.36,,
71,unit,Hero,Egypt,pharoah (hero),,,,,,,0,,,100,,,,,,,12,,,12,1,"2,5x MU",,,15%,30%,99%,12,4,,12, -   , -   , -   , -   , -   , -   , -   ,,
72,unit,Hero,Egypt,pharoah (new hero),,,,,,,0,,,100,,,,,,,12,,,12,1,"2,5x MU",,,15%,30%,99%,12,4,,12, -   , -   , -   , -   , -   , -   , -   ,,
73,unit,Myth,Egypt,phoenix,,,,,200,25,200,4,6,500,16,Ranged Attack,2.7," MythUnit:  2.00,  Hero:  0.25",4,50,,,50,40,2.7,2x MU,"0,25x Hero",,15,55,80,4,4.5,,14.81,18.52,0.074,3.7,2.5,125,2.94,5.56,65,
74,unit,Animal,Egypt,polar bear of set,,,,,,,0,1,,70,,,,,,5,,,,5,1.3,"0,5x Buildings",,,20%,30%,99%,,4.3,,3.85, -   , -   ,3.85, -   ,70, -   , -   ,,
75,unit,Hero,Egypt,priest (hero),,,,,100,,100,2,10,80,12,Ranged Attack,0.8, MythUnit:  5.00,5,,0.5,,,2,0.8,5x MU,,,10,1,99,10,3.6,,2.5, -   ,0.025,1.25,0.8,40,0.89,0.81,,
76,unit,Hero,Egypt,rhinoceros of set,,,,,,12,0,2,6,135,,,,,,8,,,,8,1.1,"0,5x Buildings",,,30%,40%,99%,,4,,7.27, -   , -   ,3.64, -   ,67.5, -   , -   ,,
77,unit,Myth,Egypt,roc,,,,,100,5,150,3,14,700,16,None,,,,,,,,0,,,,,0%,25,80,,5.3,, -   , -   , -   , -   , -   , -   , -   , -   ,,
78,unit,Myth,Egypt,scarab,,,240,,,18,300,4,20,900,16,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",1,15,,,75,15,1.5,2x MU,"0,5x Hero",,5,75,80,,3.2,,10,50,0.033,2.5,3,225,3.16,12,95,
79,unit,Myth,Egypt,scorpion man,,,,200,,24,200,3,20,500,,,,,,30,,,,30,1.3,3x MU,"0,5x Hero",,50%,40%,80%,,5,,23.08, -   ,0.115,7.69,2.5,166.67,5,4.17,,
80,unit,Myth,Egypt,sea snake,,,,,,,0,0,,50,16,Melee Attack,1.3,,3,9,,,,9,1.3,,,,5,20,50,,5.3,,6.92, -   , -   , -   , -   , -   , -   , -   ,,
81,unit,Myth,Egypt,serpent,,,,,,,0,0,,60,16,Melee Attack,1.2," AbstractVillager:  O.10,  OxCart:  O.10",0.75,5,,,,5,1.2,"0,1x Villagers",,,15,10,99,,4,,4.17, -   , -   , -   , -   , -   , -   , -   ,,
82,unit,Siege,Egypt,siege tower,,,,200,100,,300,3,15,400,20,Wall Breaching,3.5,,3,,,,220,0,4,,,,5,90,85,3,2.9,, -   ,50, -   , -   ,1,100,1.05,10,,
83,unit,Infantry,Norse,berserk,,,50,,30,,80,2,9,85,18,Melee Attack,0.7, Building:  1.60,0.5,0.65,,,,6.5,0.7,,,,35,10,99,,4.8,,9.29, -   ,0.116,4.64,1.06,42.5,1.63,1.18,,
84,unit,Hero,Egypt,son of osiris (hero),,,,,,,0,,,420,,,,,,,,40,,40,3,4x MU,,,30%,50%,99%,18,3.6,,13.33, -   , -   , -   , -   , -   , -   , -   ,,
85,unit,Cavalry,Greek,prodromos,,,70,,40,,110,3,12,135,,,,,,8,,,,8,1.3,3.5X Cavalry,,,20%,10%,99%,,6,,6.15, -   ,0.056,2.05,1.23,45,1.53,1.36,,
86,unit,Myth,Egypt,sphinx,,,,,120,20,120,3,17,300,16,Melee Attack,1.3," MythUnit:  3.00,  Hero:  0.50",1,15,,,7,15,1.3,3x MU,"0,5x Hero",,45,60,80,,5.3,,11.54,5.38,0.096,3.85,2.5,100,4.55,6.25,9,
87,unit,Myth,Egypt,wadjet,,,,150,,15,150,2,17,260,20,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.25",18,,12,,,6,1.5,,,,25,25,80,18,3.8,,4, -   ,0.027,2,1.73,130,2.31,2.31,,
88,unit,Animal,Egypt,walrus of set,,,,,,,0,2,,100,,,,,,5,,,,5,0.8,"0,5x Buildings",,,10%,20%,99%,,3.3,,6.25, -   , -   ,3.13, -   ,50, -   , -   ,,
89,unit,Siege Ship,Egypt,war barge,,,,90,45,,135,3,12,250,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2,,4,0,2,,,,10,60,10,20,4.8,, -   ,2, -   , -   ,1.85,83.33,2.06,4.63,4,
90,unit,Cavalry,Norse,raiding cavalry,,,40,,50,,90,2,10,105,12,Melee Attack,1, AbstractArcher:  1.75,0.75,8,,,,7.5,1,1.5X Archers,,,20,40,99,,6,,7.5, -   ,0.083,3.75,1.17,52.5,1.46,1.79,,
91,unit,Myth,Egypt,war turtle,,,225,,,15,300,4,9,1320,16,Melee Attack,1.7," MythUnit:  2.00,  Hero:  0.50",2,60,,,34,42,1.7,2x MU,"0,5x Hero",,40,70,80,,5.3,,24.71,20,0.082,6.18,3.2,240,5.33,10.67,40,
92,unit,Hero,Egypt,water buffalo of set,,,,,,,0,2,,100,,,,,,7,,,,7,1,"0,5x Buildings",,,20%,10%,99%,,4,,7, -   , -   ,3.5, -   ,50, -   , -   ,,
93,unit,Animal,Egypt,wolf of set,,,,,,,0,1,,35,,,,,,5,,,,5,1.7,"0,5x Buildings",,,20%,30%,99%,,5,,2.94, -   , -   ,2.94, -   ,35, -   , -   ,,
94,unit,Hero,Egypt,zebra of set,,,,,,,0,1,,15,,,,,,5,,,,5,1.4,"0,5x Buildings",,,35%,0%,99%,,4,,3.57, -   , -   ,3.57, -   ,15, -   , -   ,,
95,unit,Hero,Greek,achilles,,,75,,175,2,250,3,20,300,,,,,,9,,,,9,1,"6,5x MU",,,30%,45%,99%,,5.5,,9, -   ,0.036,3,1.2,100,1.71,2.18,,
96,unit,Hero,Greek,ajax,,,100,50,,,150,2,5,257,,,,,,7.7,,,,7.7,1,12x MU,,,40%,35%,99%,,4.3,,7.7, -   ,0.051,3.85,1.71,128.5,2.86,2.64,,
97,unit,Hero,Greek,atlanta,,,75,,175,2,250,3,20,303,,,,,,13.4,,,,13.4,1.4,"6,5x MU",,,35%,30%,99%,,5.8,,9.57, -   ,0.038,3.19,1.21,101,1.86,1.73,,
98,unit,Hero,Greek,bellerophon ,,,,,400,6,400,4,30,550,,,,,,16.5,,7.7,,24.2,1.2,"4,5x MU",,,20%,55%,99%,,6,,20.17, -   ,0.05,5.04,1.38,137.5,1.72,3.06,,
99,unit,Myth,Greek,carcinos,,,,200,,15,200,3,9,900,16,Melee Attack,1.2," MythUnit:  2.00,  Hero:  0.50",0.5,35,,,15,24,1.2,2x MU,"0,5 x Hero",,70,60,80,,5,,20,12.5,0.1,6.67,3.6,240,12,9,20,
100,unit,Myth,Greek,centaur,,,,180,,14,180,3,22,250,16,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.25",12,,18,,,18,1.5,2x MU,"0,25x Hero",,15,20,80,12,5.5,,12, -   ,0.067,4,1.39,83.33,1.63,1.74,,
101,unit,Myth,Greek,chimera,,,300,,,28,350,4,20,700,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",1,20,,,,20,1,3x MU,"0,5x Hero",,60,60,80,1,5.3,,20, -   ,0.057,5,2,175,5,5,,
102,unit,Hero,Greek,chiron,,,,250,100,4,350,2,25,385,,,,,,,12.1,,,12.1,1.5,"6,5x MU",,,20%,30%,99%,18,5.5,,8.07, -   ,0.023,4.03,1.1,192.5,1.38,1.57,,
103,unit,Myth,Greek,collosus,,,,,350,35,350,4,24,1200,,,,,,26,,,65,26,1.3,"0,5x Hero",,,50%,75%,80%,,3,,20,50,0.057,5,3.43,300,6.86,13.71,,
104,unit,Myth,Greek,cyclops,,,150,,,18,150,3,20,600,,,,,,16,,,20,16,1.4,2x MU,"0,5x Hero",,40%,55%,80%,,3.5,,11.43,14.29,0.076,3.81,4,200,6.67,8.89,,
105,unit,Infantry,Egypt,mercenary,,,,,90,,90,0,1,90,16,Melee Attack,1," AbstractCavalry:  1.50,  Building:  1.60",0.75,7,,,,7,1,"1,25x Cavalry",,,35,15,99,,4.3,,7, -   ,0.078, -   ,0.94, -   ,1.45,1.11,,
106,unit,Siege,Greek,helepolis,,,,300,200,,500,5,24,650,18,Wall Breaching,2,,10,,10,,34,30,2,,,,5,90,85,10,2.9,,15,17,0.03,3,1.2,120,1.26,12,50,
107,unit,Hero,Greek,heracles,,,75,,175,2,250,3,20,358,,,,,,13.2,,,,13.2,1.2,"6,5x MU",,,25%,30%,99%,,4.8,,11, -   ,0.044,3.67,1.43,119.33,1.91,2.05,,
108,unit,Cavalry,Greek,hippeus,,,40,,80,,120,3,16,150,12,Melee Attack,1, AbstractArcher:  1.50,0.75,10,,,,10,1,1.5X Archers,,,15,45,99,,5.5,,10, -   ,0.083,3.33,1.25,50,1.39,2.08,,
