Type,Sub_Type,Faction,Name,Prefixes,Suffixes,Food,Wood,Gold,Favor,Cost,Pop,Training Time (s),HP,Hack Damage,Pierce Damage,Divine Damage,Crush Damage,Total Damage,Attack Speed,Multiplier 1,Multiplier 2,Multiplier 3,Hack Armor,Pierce Armor,Crush Armor,Range,Speed,Description,DPS,DPS (Crush),DPS Per Cost,DPS Per Pop,HP Per Cost,HP Per Pop,Hack HP Per Cost,Pierce HP Per Cost
unit,Siege Infantry Hero,Atlantean,Destroyer (Hero),,,125,,105,3,230,3,19,165,3.9,,,,3.9,1.2,6x Building,11x MU,,30%,70%,99%,,3.9,,3.25, -   ,0.014,1.08,0.72,55,1.02,2.39
unit,Myth,Atlantean,Dryad,,,,150,,,150,0,8,275,22,,,,22,1.5,"0,5 x Hero",,,40%,50%,80%,,4.5,,14.67, -   ,0.098, -   ,1.83, -   ,3.06,3.67
unit,Infantry,Atlantean,Katapeltes,,,60,,35,,95,2,11,115,6,,,,6,1.2,4x cavalry,,,35%,10%,99%,,4.5,,5, -   ,0.053,2.5,1.21,57.5,1.86,1.35
unit,Hero,Atlantean,Fanatic (Hero),,,130,,95,3,225,3,19,155,9,,,,9,1,2x Infrantry,2x Cavalry,8x MU,40%,15%,99%,,4.6,,9, -   ,0.04,3,0.69,51.67,1.15,0.81
unit,Close Combat Ship,Atlantean,Fire Ship,,,,100,50,,150,3,17,320,20,,,,20,1.5,,,,30%,10%,50%,5,7.3,,13.33, -   ,0.089,4.44,2.13,106.67,3.05,2.37
unit,Siege,Atlantean,Fire Siphon,,,,275,180,,455,5,19,350,,20,,100,20,1.7,,,,5%,90%,50%,16,2.9,,11.76,58.82,0.026,2.35,0.77,70,0.81,7.69
unit,Cavalry,Norse,Jarl,,,50,,80,,130,3,24,180,10,,,,10,1,,,,25%,35%,99%,,4.8,,10, -   ,0.077,3.33,1.38,60,1.85,2.13
unit,Hero,Atlantean,Katapeltes (Hero),,,105,,60,2,165,2,19,130,7,,,,7,1.2,4x Cavalry,9x MU,,35%,10%,99%,,4.8,,5.83, -   ,0.035,2.92,0.79,65,1.21,0.88
unit,Myth,Atlantean,Lampades,,,,,250,25,250,4,20,350,,24,,20,24,2,2x  MU," 0,25x Hero","0,5 x Hero",40%,50%,80%,12,4.3,,12,10,0.048,3,1.4,87.5,2.33,2.8
unit,Myth,Atlantean,Man O War,,,250,,,15,250,4,10,900,,,25,,25,3,3x MU,"0,25x Hero","0,25 x Hero",50%,70%,80%,12,6,,8.33, -   ,0.033,2.08,3.6,225,7.2,12
unit,Infantry,Atlantean,Fanatic,,,75,,55,,130,3,11,140,8,,,,8,1,2x infantry 2x cavalry,,,40%,15%,99%,,4.3,,8, -   ,0.062,2.67,1.08,46.67,1.79,1.27
unit,Infantry Hero,Atlantean,Murmillo (Hero),,,95,,55,2,150,2,22,125,8,10,,,18,0.8,"5,5x MU",,,40%,10%,99%,,4.8,,22.5, -   ,0.15,11.25,0.83,62.5,1.39,0.93
unit,Myth,Atlantean,Nerid,,,,,200,15,200,2,12,400,25,,,,25,1,2x  MU,"0,5x Hero","0,5 x Hero",30%,50%,80%,,5,,25, -   ,0.125,12.5,2,200,2.86,4
unit,Infantry,Egypt,Spearman,,,50,,20,,70,2,12,75,6,,,,6,1,1.75x cavalry,,,40%,15%,99%,,5,,6, -   ,0.086,3,1.07,37.5,1.79,1.26
unit,Hero,Atlantean,Oracle (Hero),,,80,,120,1,200,1,19,105,9,,,,9,1.5,6x MU,,,20%,50%,99%,,4.2,,6, -   ,0.03,6,0.53,105,0.66,1.05
unit,Myth,Atlantean,Promethean,,,90,,,8,90,2,18,175,12,,,,12,1.1,3x MU,"0,5x Hero","0,5 x Hero",60%,25%,80%,,4.3,,10.91, -   ,0.121,5.45,1.94,87.5,4.86,2.59
unit,Myth,Atlantean,Promethean (off spring),,,45,,,4,45,1,,80,6,,,,6,1.1,"1,5xMU","0,5x Hero","0,5 x Hero",25%,35%,80%,,5.5,,5.45, -   ,0.121,5.45,1.78,80,2.37,2.74
unit,Myth,Atlantean,Satyr,,,,250,,20,250,3,15,400,,20,,,20,1,3xMU,"0,25 x Hero","0,25 x Villagers ",50%,50%,80%,18,3.8,,20, -   ,0.08,6.67,1.6,133.33,3.2,3.2
unit,Arrow Ship,Atlantean,Siege Bireme,,,,100,50,,150,3,17,250,,8,,4*4,8,2,2x Archer Ships,,,10%,60%,10%,20,5.1,,4, -   ,0.027,1.33,1.67,83.33,1.85,4.17
unit,Myth,Atlantean,Stymphalian Bird,,,,200,20,25,220,3,10,400,,42,,,42,1.8,3x MU,"0,25x Hero",,15%,45%,80%,15,3.8,,23.33, -   ,0.106,7.78,1.82,133.33,2.14,3.31
unit,Myth,Atlantean,Tartarian Spawn,,,,,,,0,,,350,15,,,20,15,1,2x MU,"0,25x Hero",,40%,40%,80%,,3.8,,15,20, -   , -   , -   , -   , -   , -   
unit,Infantry,Norse,Hirdman,,,35,,45,,80,2,14,90,4,,,,4,1,4x cavalry,,,35%,5%,99%,,4.8,,4, -   ,0.05,2,1.13,45,1.73,1.18
unit,Hero,Atlantean,Turma (Hero),,,,80,70,2,150,2,10+8,90,,7,,,7,1.8,4x Ranged,8x MU,,15%,40%,99%,12,5.8,,3.89, -   ,0.026,1.94,0.6,45,0.71,1
unit,Myth Unit,Atlantean,Water Carnivora,,,,,,,0,,,550,30,,,,30,1,"0,25 x Hero","0,25 x Villagers ",,35%,30%,30%,,,,30, -   , -   , -   , -   , -   , -   , -   
unit,Myth Unit,Atlantean,Centimanus,,,,,300,25,300,3,24,850,55,,,60,55,1.5,"0,25x Hero",,,60%,60%,80%,,3.3,,36.67,40,0.122,12.22,2.83,283.33,7.08,7.08
unit,Myth,Egypt,Anubite,,,100,,,2,100,2,9,200,11,,,,11,0.8,3x MU,"0,5x Hero",,60%,55%,80%,,5,,13.75, -   ,0.138,6.88,2,100,5,4.44
unit,Animal,Egypt,Aurochs of Set,,,,,,,0,2,,100,6,,,,6,1,"0,5 x Building",,,20%,30%,99%,,4.5,,6, -   , -   ,3, -   ,50, -   , -   
unit,Myth,Egypt,Avenger,,,250,,,25,250,3,24,600,28,,,,28,1,"x3 MU 0,5x Hero",,,60%,40%,80%,,5.5,,28, -   ,0.112,9.33,2.4,200,6,4
unit,Infantry,Greek,Hypapist,,,60,,25,,85,2,10,95,6,,,,6,1.2,5x infantry,,,35%,10%,99%,,4.3,,5, -   ,0.059,2.5,1.12,47.5,1.72,1.24
unit,Animal,Egypt,Baboon of Set,,,,,,3,0,1,3,20,3,,,,3,1,"0,5x Buildings",,,35%,5%,99%,,3.3,,3, -   , -   ,3, -   ,20, -   , -   
unit,Animal,Egypt,Bear of Set,,,,,,,0,1,,70,5,,,,5,1.3,"0,5x Buildings",,,10%,30%,99%,,4.3,,3.85, -   , -   ,3.85, -   ,70, -   , -   
unit,Animal,Egypt,Boar of Set,,,,,,,0,2,,70,6,,,,6,1,"0,5x Buildings",,,20%,30%,99%,,5,,6, -   , -   ,3, -   ,35, -   , -   
unit,Cavalry,Egypt,Mercenary Cavalry,,,,,120,,120,,3,160,7,,,,7,1,"1,25x Ranged",,,20%,35%,99%,,5.3,,7, -   ,0.058, -   ,1.33, -   ,1.67,2.05
unit,Animal,Egypt,Caribou of Set,,,,,,,0,2,,15,4,,,,4,1.1,"0,5x Buildings",,,35%,0%,99%,,4,,3.64, -   , -   ,1.82, -   ,7.5, -   , -   
unit,Siege,Egypt,Catapult,,,,200,200,,400,5,27,115,,40,,200,40,4,"2,5 x Ship",,,30%,90%,50%,,2.4,,10,50,0.025,2,0.29,23,0.41,2.88
unit,Infantry,Greek,Myrmidon,,,70,,50,,120,3,14,130,,,9,,9,1.4,DIVINE DAMAGE,,,40%,20%,99%,,4.3,,6.43, -   ,0.054,2.14,1.08,43.33,1.81,1.35
unit,Animal,Egypt,Chicken of Set,,,,,,,0,1,,4,,,,,0,1,"0,5x Buildings",,,10%,0%,99%,,1.8,, -   , -   , -   , -   , -   ,4, -   , -   
unit,Animal,Egypt,Crocodile of Set,,,,,,8,0,1,4,70,5,,,,5,1.3,"0,5x Buildings",,,10%,30%,99%,,3.3,,3.85, -   , -   ,3.85, -   ,70, -   , -   
unit,Animal,Egypt,Crowned Crane of Set,,,,,,,0,1,,10,4,,,,4,1.6,"0,5x Buildings",,,35%,20%,99%,,4,,2.5, -   , -   ,2.5, -   ,10, -   , -   
unit,Animal,Egypt,Deer of Set,,,,,,,0,1,,15,3,,,,3,1.1,"0,5x Buildings",,,35%,0%,99%,,4,,2.73, -   , -   ,2.73, -   ,15, -   , -   
unit,Animal,Egypt,Elephant of Set,,,,,,18,0,2,8,270,9,,,,9,1.4,"0,5x Buildings",,,20%,40%,99%,,3.3,,6.43, -   , -   ,3.21, -   ,135, -   , -   
unit,Animal,Egypt,Elk of Set,,,,,,,0,1,,15,4,,,,4,1.1,"0,5x Buildings",,,35%,0%,99%,,4,,3.64, -   , -   ,3.64, -   ,15, -   , -   
unit,Animal,Egypt,Gazelle of Set,,,,,,4,0,1,3,15,4,,,,4,1.1,"0,5x Buildings",,,35%,0%,99%,,4,,3.64, -   , -   ,3.64, -   ,15, -   , -   
unit,Animal,Egypt,Giraffe of Set,,,,,,7,0,1,4,25,5,,,,5,1.4,"0,5x Buildings",,,35%,5%,99%,,4,,3.57, -   , -   ,3.57, -   ,25, -   , -   
unit,Hero,Egypt,Hippopotamus of Set,,,,,,10,0,1,6,100,6,,,,6,1,"0,5x Buildings",,,10%,20%,99%,,4,,6, -   , -   ,6, -   ,100, -   , -   
unit,Hero,Egypt,Hyena of Set,,,,,,5,0,1,4,45,7,,,,7,1.8,"0,5x Buildings",,,20%,30%,99%,,4,,3.89, -   , -   ,3.89, -   ,45, -   , -   
unit,Arrow Ship,Egypt,Kebenit,,,,90,45,,135,3,17,290,,24,,,24,1.5,,,,50%,30%,99%,15,5.5,,16, -   ,0.119,5.33,2.15,96.67,4.3,3.07
unit,Myth,Egypt,Leviathan,,,,,200,15,200,3,10,1020,38,,,,38,1.5,2x MU,"0,5x Hero",,40%,60%,80%,,4.2,,25.33, -   ,0.127,8.44,5.1,340,8.5,12.75
unit,Hero,Egypt,Lion of Set,,,,,,,0,1,,45,9,,,,9,2.2,"0,5x Buildings",,,20%,30%,99%,,5,,4.09, -   , -   ,4.09, -   ,45, -   , -   
unit,Myth,Egypt,Lost Ship (Ancestors),,,,,,,0,,,200,,24,,,24,1.5,,,,25%,15%,5%,12,6,,16, -   , -   , -   , -   , -   , -   , -   
unit,Infantry,Egypt,Axemen,,,40,,30,,70,2,12,70,5,,,,5,1,5x infantry,,,40%,5%,99%,,4.3,,5, -   ,0.071,2.5,1,35,1.67,1.05
unit,Cavalry,Atlantean,Contarius,,,60,,40,,100,3,17,140,13.5,,,,13.5,1.5,1.5X Archers,,,15%,40%,99%,1,5.8,,9, -   ,0.09,3,1.4,46.67,1.65,2.33
unit,Myth,Egypt,Minion (Ancestors),,,,,50,10,50,,,140,8,,,,8,0.9,,,,35%,40%,80%,,5,,8.89, -   ,0.178, -   ,2.8, -   ,4.31,4.67
unit,Animal,Egypt,Monkey of set,,,,,,,0,1,,29,3,,,,3,1,"0,5x Buildings",,,35%,5%,99%,,3.3,,3, -   , -   ,3, -   ,29, -   , -   
unit,Myth,Egypt,Mummy,,,,275,,25,275,4,17,450,,30,,,30,1.7,3x MU,"0,25 x Hero",,35%,50%,80%,12,4,,17.65, -   ,0.064,4.41,1.64,112.5,2.52,3.27
unit,Myth,Egypt,Petsuchos,,,,,200,15,200,3,20,480,,10,2,,12,2,2x MU,"0,5x Hero",,40%,45%,80%,20,3.6,,6, -   ,0.03,2,2.4,160,4,4.36
unit,Hero,Egypt,Pharoah (Hero),,,,,,,0,,,100,,12,,,12,1,"2,5x MU",,,15%,30%,99%,12,4,,12, -   , -   , -   , -   , -   , -   , -   
unit,Hero,Egypt,Pharoah (New Hero),,,,,,,0,,,100,,12,,,12,1,"2,5x MU",,,15%,30%,99%,12,4,,12, -   , -   , -   , -   , -   , -   , -   
unit,Myth,Egypt,Phoenix,,,,,200,25,200,4,6,500,40,,,50,40,2.7,2x MU,"0,25x Hero",,15%,55%,80%,4,4.5,,14.81,18.52,0.074,3.7,2.5,125,2.94,5.56
unit,Animal,Egypt,Polar Bear of Set,,,,,,,0,1,,70,5,,,,5,1.3,"0,5x Buildings",,,20%,30%,99%,,4.3,,3.85, -   , -   ,3.85, -   ,70, -   , -   
unit,Hero,Egypt,Priest (Hero),,,,,100,,100,2,10,80,,2,,,2,0.8,5x MU,,,10%,1%,99%,10,3.6,,2.5, -   ,0.025,1.25,0.8,40,0.89,0.81
unit,Hero,Egypt,Rhinoceros of Set,,,,,,12,0,2,6,135,8,,,,8,1.1,"0,5x Buildings",,,30%,40%,99%,,4,,7.27, -   , -   ,3.64, -   ,67.5, -   , -   
unit,Myth,Egypt,Roc,,,,,150,5,150,,14,,,,,,0,,,,,0%,25%,80%,,5,, -   , -   , -   , -   , -   , -   , -   , -   
unit,Myth,Egypt,Scarab,,,300,,,18,300,4,20,900,15,,,75,15,1.5,2x MU,"0,5x Hero",,5%,75%,80%,,3.2,,10,50,0.033,2.5,3,225,3.16,12
unit,Myth,Egypt,Scorpion Man,,,,200,,24,200,3,20,500,30,,,,30,1.3,3x MU,"0,5x Hero",,50%,40%,80%,,5,,23.08, -   ,0.115,7.69,2.5,166.67,5,4.17
unit,Myth,Egypt,Sea Snake,,,,,,,0,,,65,9,,,,9,1.3,,,,5%,20%,50%,,5.3,,6.92, -   , -   , -   , -   , -   , -   , -   
unit,Myth,Egypt,Serpent,,,,,,,0,,,50,5,,,,5,1.2,"0,1x Villagers",,,15%,10%,99%,,4,,4.17, -   , -   , -   , -   , -   , -   , -   
unit,Siege,Egypt,Siege Tower,,,,200,100,,300,3,15,300,,,,200,0,4,,,,5%,90%,60%,3,2.9,, -   ,50, -   , -   ,1,100,1.05,10
unit,Infantry,Norse,Berserk,,,50,,30,,80,2,9,85,6.5,,,,6.5,0.7,,,,35%,10%,99%,,4.8,,9.29, -   ,0.116,4.64,1.06,42.5,1.63,1.18
unit,Hero,Egypt,Son of Osiris (Hero),,,,,,,0,,,420,,,40,,40,3,4x MU,,,30%,50%,99%,18,3.6,,13.33, -   , -   , -   , -   , -   , -   , -   
unit,Cavalry,Greek,Prodromos,,,70,,40,,110,3,12,135,8,,,,8,1.3,3.5X Cavalry,,,20%,10%,99%,,6,,6.15, -   ,0.056,2.05,1.23,45,1.53,1.36
unit,Myth,Egypt,Sphinx,,,,,120,18,120,3,17,300,15,,,7,15,1.3,3x MU,"0,5x Hero",,45%,60%,80%,,5.3,,11.54,5.38,0.096,3.85,2.5,100,4.55,6.25
unit,Myth,Egypt,Wadjet,,,,150,,15,150,2,17,260,,6,,,6,1.5,,,,25%,25%,80%,18,3.8,,4, -   ,0.027,2,1.73,130,2.31,2.31
unit,Animal,Egypt,Walrus of Set,,,,,,,0,2,,100,5,,,,5,0.8,"0,5x Buildings",,,10%,20%,99%,,3.3,,6.25, -   , -   ,3.13, -   ,50, -   , -   
unit,Siege Ship,Egypt,War Barge,,,,90,45,,135,3,13,250,,2*4,,4,0,2,,,,10%,60%,10%,20,4.8,, -   ,2, -   , -   ,1.85,83.33,2.06,4.63
unit,Cavalry,Norse,Raiding Cavalry,,,40,,50,,90,2,18,105,7.5,,,,7.5,1,1.5X Archers,,,20%,35%,99%,,6,,7.5, -   ,0.083,3.75,1.17,52.5,1.46,1.79
unit,Myth,Egypt,War Turtle,,,300,,,15,300,4,9,960,42,,,34,42,1.7,2x MU,"0,5x Hero",,40%,70%,80%,,5.3,,24.71,20,0.082,6.18,3.2,240,5.33,10.67
unit,Hero,Egypt,Water Buffalo of Set,,,,,,,0,2,,100,7,,,,7,1,"0,5x Buildings",,,20%,10%,99%,,4,,7, -   , -   ,3.5, -   ,50, -   , -   
unit,Animal,Egypt,Wolf of Set,,,,,,,0,1,,35,5,,,,5,1.7,"0,5x Buildings",,,20%,30%,99%,,5,,2.94, -   , -   ,2.94, -   ,35, -   , -   
unit,Hero,Egypt,Zebra of Set,,,,,,,0,1,,15,5,,,,5,1.4,"0,5x Buildings",,,35%,0%,99%,,4,,3.57, -   , -   ,3.57, -   ,15, -   , -   
unit,Hero,Greek,Achilles,,,75,,175,2,250,3,20,300,9,,,,9,1,"6,5x MU",,,30%,45%,99%,,5.5,,9, -   ,0.036,3,1.2,100,1.71,2.18
unit,Hero,Greek,Ajax,,,100,50,,,150,2,5,257,7.7,,,,7.7,1,12x MU,,,40%,35%,99%,,4.3,,7.7, -   ,0.051,3.85,1.71,128.5,2.86,2.64
unit,Hero,Greek,Atlanta,,,75,,175,2,250,3,20,303,13.4,,,,13.4,1.4,"6,5x MU",,,35%,30%,99%,,5.8,,9.57, -   ,0.038,3.19,1.21,101,1.86,1.73
unit,Hero,Greek,Bellerophon ,,,,,400,6,400,4,30,550,16.5,,7.7,,24.2,1.2,"4,5x MU",,,20%,55%,99%,,6,,20.17, -   ,0.05,5.04,1.38,137.5,1.72,3.06
unit,Myth,Greek,Carcinos,,,,200,,15,200,3,9,720,24,,,15,24,1.2,2x MU,"0,5 x Hero",,70%,60%,80%,,4.3,,20,12.5,0.1,6.67,3.6,240,12,9
unit,Myth,Greek,Centaur,,,,180,,12,180,3,22,250,,18,,,18,1.5,2x MU,"0,25x Hero",,15%,20%,80%,12,5.5,,12, -   ,0.067,4,1.39,83.33,1.63,1.74
unit,Myth,Greek,Chimera,,,350,,,30,350,4,20,700,20,,,,20,1,3x MU,"0,5x Hero",,60%,60%,80%,1,5.3,,20, -   ,0.057,5,2,175,5,5
unit,Hero,Greek,Chiron,,,,250,100,4,350,2,25,385,,12.1,,,12.1,1.5,"6,5x MU",,,20%,30%,99%,18,5.5,,8.07, -   ,0.023,4.03,1.1,192.5,1.38,1.57
unit,Myth,Greek,Collosus,,,,,350,35,350,4,24,1200,26,,,65,26,1.3,"0,5x Hero",,,50%,75%,80%,,3,,20,50,0.057,5,3.43,300,6.86,13.71
unit,Myth,Greek,Cyclops,,,150,,,18,150,3,20,600,16,,,20,16,1.4,2x MU,"0,5x Hero",,40%,55%,80%,,3.5,,11.43,14.29,0.076,3.81,4,200,6.67,8.89
unit,Infantry,Egypt,Mercenary,,,,,90,,90,,2,85,7,,,,7,1,"1,25x Cavalry",,,35%,15%,99%,,4.3,,7, -   ,0.078, -   ,0.94, -   ,1.45,1.11
unit,Siege,Greek,Helepolis,,,,300,200,,500,5,24,600,,30,,34,30,2,,,,5%,90%,50%,10,2.9,,15,17,0.03,3,1.2,120,1.26,12
unit,Hero,Greek,Heracles,,,75,,175,2,250,3,20,358,13.2,,,,13.2,1.2,"6,5x MU",,,25%,30%,99%,,4.8,,11, -   ,0.044,3.67,1.43,119.33,1.91,2.05
unit,Cavalry,Greek,Hippeus,,,40,,80,,120,3,16,150,10,,,,10,1,1.5X Archers,,,10%,40%,99%,,5.5,,10, -   ,0.083,3.33,1.25,50,1.39,2.08
unit,Cavalry,Egypt,Camel Rider,,,50,,70,,120,3,8,149,8.8,,,,8.8,1,2X vs. cav,,,15%,35%,99%,,6,,8.8, -   ,0.073,2.93,1.24,49.67,1.46,1.91
unit,Myth Unit,Greek,Hippocampus,,,,,,,0,,,,,,,,0,,,,,10%,70%,80%,,6.6,, -   , -   , -   , -   , -   , -   , -   , -   
unit,Hero,Greek,Hippolyta (Hero),,,,250,100,4,350,2,20,358,,14.3,,,14.3,1.7,"6,5x MU",,,25%,35%,99%,20,4.3,,8.41, -   ,0.024,4.21,1.02,179,1.36,1.57
unit,Cavalry,Greek,Hetairos,,,50,,90,,140,3,20,160,10,,,,10,1,Does Splash Damage (2.5),,,5%,40%,99%,,5,,10, -   ,0.071,3.33,1.14,53.33,1.2,1.9
unit,Myth,Greek,Hydra,,,250,,,28,250,4,20,800,30,,,15,30,1.5,2x MU,"0,5x Hero",,60%,50%,80%,2,4,,20,10,0.08,5,3.2,200,8,6.4
unit,Infantry,Norse,Huskarl,,,,75,40,,115,2,10,115,7,,,,7,1,2x archers,,,10%,60%,99%,,5,,7, -   ,0.061,3.5,1,57.5,1.11,2.5
unit,Hero,Greek,Jason,,,100,50,,,150,2,5,220,9.9,,,,9.9,1.5,12x MU,,,35%,35%,99%,,4.3,,6.6, -   ,0.044,3.3,1.47,110,2.26,2.26
unit,Siege Ship,Greek,Juggernaut,,,,100,50,,150,3,17,275,,8,,4,8,2,2x arrow ships,,,10%,60%,10%,20,4.8,,4,2,0.027,1.33,1.83,91.67,2.04,4.58
unit,Ranged Cavalry,Atlantean,Turma,,,,45,40,,85,2,10,80,,5.5,,,5.5,1.8,4x ranged,,,15%,40%,99%,12,5.5,,3.06, -   ,0.036,1.53,0.94,40,1.11,1.57
unit,Myth,Greek,Manticore,,,,300,,25,300,4,17,420,,33,,,33,1,2x MU,"0,25x Hero",,30%,60%,80%,16,5,,33, -   ,0.11,8.25,1.4,105,2,3.5
unit,Myth,Greek,Medusa,,,,250,,24,250,4,20,500,,35,,5,35,1.7,2x MU,"0,25x Hero",,60%,70%,80%,16,4.3,,20.59,2.94,0.082,5.15,2,125,5,6.67
unit,Cavalry,Greek,Kataskopos,,,75,,,,75,1,,70,1,,,,1,1.1,,,,10%,70%,99%,,5.9,,0.91, -   ,0.012,0.91,0.93,70,1.04,3.11
unit,Myth,Greek,Minotaur,,,,,180,15,180,3,20,320,17,,,,17,1.1,2x MU,"0,5x Hero",,60%,50%,80%,,4.5,,15.45, -   ,0.086,5.15,1.78,106.67,4.44,3.56
unit,Ranged,Greek,Peltast,,,,70,20,,90,2,10,70,,5,,,5,1.5,4X ranged,,,15%,40%,99%,18,4,,3.33, -   ,0.037,1.67,0.78,35,0.92,1.3
unit,Myth,Greek,Nemean Lion,,,,,250,22,250,3,20,660,22,,,11,22,1.1,2x MU,"0,5x Hero",,30%,60%,80%,,4.8,,20,10,0.08,6.67,2.64,220,3.77,6.6
unit,Hero,Greek,Odysseus,,,,250,100,4,350,2,25,385,,11,,,11,1.2,"6,5x MU",,,25%,35%,99%,18,4.3,,9.17, -   ,0.026,4.58,1.1,192.5,1.47,1.69
unit,Myth,Greek,Pegasus,,,50,,,2,50,,6,,,,,,0,,,,,50%,50%,80%,18,5.4,, -   , -   , -   , -   , -   , -   , -   , -   
unit,Ranged,Egypt,Slinger,,,,60,25,,85,2,14,65,,3,,,3,1,3x ranged,,,15%,35%,99%,17,4,,3, -   ,0.035,1.5,0.76,32.5,0.9,1.18
unit,Hero,Greek,Perseus,,,,,400,6,400,4,30,440,19.8,,9.9,,29.7,1.5,7x,,,20%,40%,99%,28,4.3,,19.8, -   ,0.05,4.95,1.1,110,1.38,1.83
unit,Siege,Greek,Petrobolos,,,,150,200,,350,3,19,110,,30,,44,30,4,"2,5x Ships",,,30%,90%,50%,,2.4,,7.5,11,0.021,2.5,0.31,36.67,0.45,3.14
unit,Hero,Greek,Polyphemus (Hero),,,,,400,6,400,4,30,700,25,,,15,25,1.5,4x MU,,,40%,40%,99%,2,4.1,,16.67,10,0.042,4.17,1.75,175,2.92,2.92
unit,Ranged,Greek,Toxotes,,,,55,35,,90,2,15,65,,6,,,6,1.1,1.25X Infantry,,,15%,15%,99%,15,4,,5.45, -   ,0.061,2.73,0.72,32.5,0.85,0.85
unit,Close Combat Ship,Greek,Ramming Galley,,,,90,45,,135,3,17,320,25,,,,25,1.5,,,,30%,10%,50%,2,7,,16.67, -   ,0.123,5.56,2.37,106.67,3.39,2.63
unit,Myth,Greek,Scylla,,,,,200,20,200,4,15,800,30,,,15,30,1.5,"1,5x MU","0,5x Hero",,40%,70%,80%,,5.3,,20,10,0.1,5,4,200,6.67,13.33
unit,Myth,Greek,Shade of Hades,,,,,,,0,,,100,12,,,,12,2,,,,20%,20%,80%,,4.5,,6, -   , -   , -   , -   , -   , -   , -   
unit,Hero,Greek,The Argo (Hero),,,,200,,4,200,4,25,480,,48,,,48,2,"3,5x MU",,,25%,40%,15%,16,6,,24, -   ,0.12,6,2.4,120,3.2,4
