Name,Type,Sub_Type,Faction,Prefixes,Suffixes,Food_Cost,Wood_Cost,Gold_Cost,Favor_Cost,Pop_Cost,Training_Time,Buildpoints,Hitpoints,Line_of_Sight,Attack_Type,Rate_of_fire,Bonus_Multiplier,Maximum_range,Hack_Damage,Pierce_Damage,Divine_Damage,Crush_Damage,Hack_Armor,Pierce_Armor,Crush_Armor,Velocity,Focus,Description,God_Of
asura,unit,,,,,250,,150,30,4,15,,1000,18,Melee Attack,2," MythUnit:  2.00,  Hero:  0.25",5,30,,,30,45,65,80,3.2,,Myth unit. A towering giant who incinerates enemies. Good against human soldiers and buildings.,
atalanta (hero),unit,,,,,100,50,,,2,5,,190,16,Melee Attack,1, MythUnit:  12.00,1,1.75,,,,40,35,99,4.3,,Fast Hero. Good against myth units. Switches to a ranged attack to fight flying units. Collects Relics.,
atlatl siege canoe,unit,,,,,,100,50,,3,,,250,24,Ranged Attack,1.9, AbstractArcherShip:  2.00,20,,2,,4,10,60,10,4.80 Ee,,* Siege ship. Good against arrow ships and buildings.,
automaton,unit,,,,,,,90,6,2,9 =,,230,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",0.5,11,,,,35,50,80,4.2,,other. Good against human soldiers.,
avenger,unit,,,,,250,,,25,3,24,,600,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",0.5,28,,,,60,40,80,5.5,,Myth unit. A fast unit that can attack multiple enemies at once. Good against human soldiers.,
axe cart,unit,,,,,,200,200,,4,22,,500,18,Wall Breaching,2.1,,,30,,,90,30,90,85,2.6,,Siege weapon. Swings a large fan-shaped shovel to knock down walls and other buildings.,
axeman,unit,,,,,40,,30,,2,12,,80,16,Melee Attack,1," AbstractInfantry:  4.00,  Building:  1.60",0.5,5,,,,40,10,99,4.3,,Counter infantry. Infantry only good against other infantry.,
axolotl (mutant),unit,,,,,,,250,20,3,18,,1000,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",1,50,,,,60,55,80,,,,
axolotl,unit,,,,,250,,,15,3,16,,700,16,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",1,40,,,,50,55,80,6.00 _=,,,
ayotochtli,unit,,,,,300,,,20,4,,,960,24,Melee Attack,2," MythUnit:  2.00,  Hero:  0.50",2,25,,,130,55,80,80,3.00 Ee,,buildings.,
baboon of set,unit,,,,,,,,3,1,3 ews SSS,,20,16,Melee Attack,1, Building:  O.50,0.5,0.3,,,,35,5,99,3.30 EEE,,worshipers. Good against human soldiers.,
baihu,unit,,,,,120,150,,23,3,20,,650,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",1,30,,,15,50,50,80,5.20 I,,Myth unit with powerful strikes that send units flying. Good against human soldiers.,
ballista,unit,,,,,,150,150,,3,17,,85,40,Wall Breaching,2.5, Ship:  3.00,,,22,,19,20,90,85,2.4,,"Ranged siege weapon. Strong against units and ships, decent against buildings.",
battle boar,unit,,,,,,,250,27,3,20,,720,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",1,20,,,30,60,60,80,5,,Myth unit. A fast-moving construct that goes berserk and bucks at units all around it. Good against human soldiers and buildings.,
behemoth,unit,,,,,250,,,20,4,20,,700,16,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",2.5,20,,,110,30,75,80,3,,Siege myth unit. Living siege weapon that regenerates. Good against buildings and human soldiers.,
bellerophon (hero),unit,,,,,,,400,6,4,30,,440,16,Melee Attack,1.2, MythUnit:  4.50,1,15,,7,,20,55,99,6,,"Mounted Hero that leaps into battle on the winged horse, Pegasus. Good against myth units. Switches to a ranged attack to fight flying units.",
berserk,unit,,,,,50,,30,,2,9,,85,18,Melee Attack,0.7, Building:  1.60,0.5,0.65,,,,35,10,99,4.8,,Infantry. Good against whatever it can reach.,
bireme,unit,,,,,,100,50,,3,16,,290,20,Ranged Attack,1.5,,16,,8,,,50,30,5,5.5,,Arrow ship. Good against close-combat ships. Can transport units.,
bushi (hero),unit,,,,,,60,50,2,3,20,,80,20,Ranged Attack,1.5, MythUnit:  8.00,18,,8,,,15,25,99,4.2,,Ranged hero. Good against myth units.,
caladria,unit,,,,,,100,25,12,2,9,,100,20,Pacify,3.5,,18,,,,,5,45,80,5,,"Myth unit. Heals allied units and slows down enemy units. Has no attack, and can only be attacked by ranged units.",
calpulli,building,,,,,,75,,,,,15,600,9,,,,,,,,,40,90,5,,,they have gathered.,
camel caravan,unit,,,,,100,25,,,1,18,,115,16,,,,,,,,,30,30,99,3.8,,Task the Caravan on any Town Center to collect Gold and return it to your Market. Longer routes produce more Gold.,
camel rider,unit,,,,,50,,70,,3,6,,135,16,Melee Attack,1," AbstractCavalry:  2.00,  AbstractArcher:  1.25",0.75,8,,,,15,40,99,6,,"Cavalry. A fast, expensive unit that is good against ranged soldiers and cavalry.",
carcinos,unit,,,,,,200,,15,3,9,,900,16,Melee Attack,1.2," MythUnit:  2.00,  Hero:  0.50",0.5,35,,,20,70,60,80,5,,Myth unit. Giant crustacean that is good against ships.,
carnivora,unit,,,,,,,,25,0,,,600,16,Melee Attack,1," AbstractVillager:  O.25,  Hero:  0.50",3,20,,,,35,20,80,Immoveable,,Myth unit. This living plant can sink ships or swallow soldiers.,
catapult,unit,,,,,,200,200,,5,26,,115,36,Wall Breaching,4, Ship:  2.50,,,40,,250,30,90,85,2.4,,Ranged siege weapon. Good against buildings and ships.,
centaur,unit,,,,,,180,,14,3,22,,250,16,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.25",12,,18,,,15,20,80,5.5,,Ranged myth unit. Fast cavalry archer with an arrow volley special attack. Good against human soldiers.,
centimanus,unit,,,,,,,300,25,4,18 |,,960,16,Melee Attack,1.5, Hero:  0.25,0.5,55,,,80,60,60,80,3.3,,Myth unit. A mighty giant who pounds the ground to knock back his enemies. Good against human soldiers.,
centzon totochtin,unit,,,,,100,,,14,2,9 ee,,260,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",1,12,,,,40,50,80,5.00 =,,PS a XN soldiers.,
chaneque,unit,,,,,,,175,11,2,,,300,22,,,,,,,,,30,40,80,4.30 =,,defense and range. Good against human soldiers.,
chariot archer,unit,,,,,,100,40,,3,8,,95,21,Ranged Attack,1.5, AbstractInfantry:  1.50,19,,11,,,15,20,99,5,,"Ranged Soldier, Cavalry. Good against infantry.",
cheiroballista (hero),unit,,,,,,200,175,4,4,,,120,22,Ranged Attack,2," AbstractInfantry:  5.00,  MythUnit:  8.00,  Ship:  3.00",17,,4,,,20,50,85,4.1,,"Ranged Soldier, Siege Weapon, Hero. Fragile, but very powerful against infantry, ships, and myth units.",
cheiroballista,unit,,,,,,115,100,,4,24,,105,22,Ranged Attack,2," AbstractInfantry:  5.00,  Ship:  3.00",17,,3,,,20,50,85,3.8,,"Ranged Soldier, Siege Weapon. Fragile, but very powerful against infantry and ships.",
chimera,unit,,,,,280,,,26,4,20 ==,,700,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",1,28,,,,60,60,80,5.3,,Myth unit that can breathe fire on adjacent units. Good against human soldiers.,
chiron (hero),unit,,,,,,250,100,4,2,25,,350,20,Ranged Attack,1.5, MythUnit:  6.50,18,,13,,,20,30,99,5.5,,Hero. Has a ranged attack that is good against myth units.,
chiwen,unit,,,,,,150,150,20,3,15,,300,22,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",1,35,,,15,40,60,80,5.2,,Myth unit. Strong aquatic unit with a regenerative shield. Good against ships.,
chu ko nu,unit,,,,,,90,55,,3,16,,90,16,Ranged Attack,2.8,,16,,8,,,20,25,99,3.8,,Ranged soldier. Versatile Chinese crossbowman with a rapid-fire attack.,
citizen (hero),unit,,,,,150,25,,2,2,,,125,16,Ranged Attack,2,,15,,22,,,25,35,99,3.8,,Hero Atlantean Citizens gather resources and build buildings. They do not drop off their resources at drop sites.,
citizen,unit,,,,,85,15,,,2,30,,100,16,Ranged Attack,2,,14,,20,,,25,35,99,3.8,,Atlantean Citizens gather resources and build buildings. They do not drop off their resources at drop sites.,
colossus,unit,,,,,,,350,30,4,24,,1200,16,Melee Attack,1.3, Hero:  0.50,0.5,26,,,100,50,75,80,3,,Siege myth unit. This titanic construct can eat trees or mines to heal itself. Good against human soldiers and buildings.,
commoner,unit,,,,,50,,,,1,18,,55,14,Ranged Attack,2,,12,,12,,,25,35,99,3.8,,Japanese Commoners gather resources and construct buildings.,
contarius (hero),unit,,,,,130,,70,3,3,,,170,16,Melee Attack,1.5," MythUnit:  7.00,  AbstractArcher:  1.50",1,15,,,,15,45,99,6.05,,"Cavalry, Hero. Good against ranged soldiers and myth units.",
contarius,unit,,,,,75,,40,,3,16 ews SSS,,155,14,Melee Attack,1.5, AbstractArcher:  1.50,1,13.5,,,,15,45,99,5.75 EEE,,Cavalry. Good against ranged soldiers and siege engines.,
coyote warrior,unit,,,,,30,,55,,2,12 |,,105,16,Melee Attack,1.2," AbstractArcher:  2.50,  Building:  1.00",0.5,7,,,,10,55,99,5.30 Fo,,ranged soldiers.,
crocodile of set,unit,,,,,,,,6,1,4,,70,14,Melee Attack,1.3, Building:  O.50,0.5,0.9,,,,10,30,99,,,worshipers. Good against human soldiers.,
cyclops,unit,,,,,150,,,18,3,20,,600,16,Melee Attack,1.4," MythUnit:  3.00,  Hero:  0.50",0.5,16,,,28,40,55,80,3.5,,Myth unit. Giant that hurls enemy units at other enemy units or buildings. Good against human soldiers.,
daimyo (hero),unit,,,,,50,,110,2,4,19,,180,16,Melee Attack,1.5, MythUnit:  5.00,1,15,,,,20,50,99,5.5,,Cavalry hero. Good against myth units.,
dao swordsman,unit,,,,,30,,55,,2,14,,135,16,Melee Attack,1.2, Building:  1.60,0.5,9,,,,30,30,99,3.8,,Slow but durable Chinese infantry. Decent vs. everything.,
deer caravan,unit,,,,,100,25,,,1,18,,115,16,,,,,,,,,30,30,99,3.8,,Task the Caravan on any Town Center to collect Gold and return it to your Market. Longer routes produce more Gold.,
destroyer (hero),unit,,,,,125,,105,3,3,,,165,18,Melee Attack,1.2," Building:  9.60,  MythUnit:  11.00",1.5,7,,,,30,70,99,3.9,,"Infantry, Hero. Good against buildings and myth units.",
destroyer,unit,,,,,70,,60,,3,7,,150,16,Melee Attack,1.2, Building:  9.60,1.5,6,,,,30,70,99,3.6,,Infantry. Good against buildings.,
donkey caravan,unit,,,,,100,25,,,1,18,,115,16,,,,,,,,,30,30,99,3.8,,Task the Caravan on any Town Center to collect Gold and return it to your Market. Longer routes produce more Gold.,
doujian,unit,,,,,,100,50,,2,16,,290,20,Ranged Attack,1.5,,15,,8,,,50,30,5,5.5,,Arrow ship. Good against close-combat ships. Can transport units.,
dragon ship,unit,,,,,,100,50,,3,16,,250,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2.5,,4.5,10,60,10,4.8,,Siege ship. Good against arrow ships and buildings.,
draugr,unit,,,,,,225,,14,2,14,,320,20,Ranged Attack,1," MythUnit:  2.00,  Hero:  0.50",14,,5,2,,25,30,80,3.8,,Myth unit. Reanimated archer that fires spectral arrows which penetrate all enemies in their path. Good against human soldiers.,
dreki,unit,,,,,,100,50,,3,16,,320,16,Melee Attack,1.5,,2,27.5,,,,30,10,50,7,,Close-combat ship. Good against siege ships.,
dryad,unit,,,,,,175,,,0,13,,275,16,Melee Attack,1.5, Hero:  0.50,0.5,22,,,,40,50,80,4.5,,Myth unit. Dryads are trained at the Hesperides Tree. Good against human soldiers.,
dwarf,unit,,,,,,,60,,1,18,,55,16,Ranged Attack,2,,12,,12,,,25,35,99,3.8,,"Dwarves are good at mining Gold, but weak at gathering Food and Wood. They can construct Farms, Houses, and Ox Carts.",
eagle warrior,unit,,,,,,80,45,,3,21,,90,20,Ranged Attack,1.5, AbstractArcher:  1.50,18,,10,,,15,30,99,4.50 EEE,,"Elite Ranged soldier. Good against anything it can reach, especially ranged soldiers.",
einheri,unit,,,,,,,150,15,2,17,,275,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",0.5,15,,,15,70,60,80,3.8,,Myth unit. Slow-moving unit that can boost the speed and attack of nearby units with a horn blast. Good against human soldiers and buildings.,
elephant of set,unit,,,,,,,,14,2,,,270,14,Melee Attack,1.4, Building:  1.50,0.5,1,,,,20,40,99,3.30 z=,,worshipers. Good against human soldiers.,
fafnir,unit,,,,,,,300,35,5,12,,1400,16,Ranged Attack,3," MythUnit:  2.00,  Hero:  0.50",4,12,,,8,65,70,80,4.8,,"Myth unit. Cursed, but devastatingly powerful wingless dragon that engulfs enemies with fire and poison. Grants Gold to its slayer. Exceptional against human soldiers and buildings.",
fanatic (hero),unit,,,,,130,,95,3,3,,,170,18,Melee Attack,1," AbstractInfantry:  1.50,  AbstractCavalry:  1.50,  MythUnit:  6.00",0.5,12,,,,40,15,99,4.6,,"Infantry, Hero. Good against infantry, cavalry and myth units.",
fanatic,unit,,,,,75,,55,,3,7,,155,16,Melee Attack,1," AbstractInfantry:  1.50,  AbstractCavalry:  1.50,  Building:  1.60",0.5,10.5,,,,40,15,99,4.3,,Infantry. Good against infantry and cavalry.,
fei,unit,,,,,60,,,8,0,,,75,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50,  AbstractVillager:  O.50",0.75,9,,,,10,25,99,5,,"Myth unit. Leaves a trail of poison mist as it moves, and spreads infection to nearby enemies and animals. It eventually dies of its own affliction.",
fenris wolf brood,unit,,,,,175,,,15,2,12,,550,16,Melee Attack,1.5," MythUnit:  3.00,  Hero:  0.25",1,40,,,,40,55,80,5.5,,"Myth unit. The larger the pack of Fenris Wolves, the stronger they get. Good against human soldiers.",
fimbulwinter wolf,unit,,,,,,,,,0,,,180,16,Melee Attack,1.5, Hero:  0.50,0.5,21,,,,20,40,80,6,,Myth unit. Ravenous wolves summoned by the Norse gods. Good against Villagers.,
fire archer,unit,,,,,,50,35,,2,9,,65,16,Ranged Attack,1," AbstractInfantry:  3.00,  Building:  6.00",12,,4,,,25,10,99,4,,Counter infantry. Ranged soldier good against infantry and decent against buildings.,
fire giant,unit,,,,,,,300,28,4,24,,600,16,Ranged Attack,3," MythUnit:  2.00,  Hero:  0.25",14,45,,,20,60,70,80,3.2,,Myth unit. A mighty engine of destruction who hurls fireballs at enemies. Good against human soldiers and buildings.,
fire ship,unit,,,,,,100,50,,3,16,,320,16,Ranged Attack,1.5,,6,25,,,,30,10,50,7,,Close-combat ship. Good against siege ships.,
fire siphon,unit,,,,,,275,180,,5,19,,400,22,Wall Breaching,1.7,,,,20,,125,5,90,85,2.9,,Flame-throwing siege weapon. Good against buildings.,
fishing ship atlantean,unit,,,,,,50,,,1,18,,100,20,,,,,,,,,60,50,5,4.8,,Gathers fish.,
fishing ship aztec,unit,,,,,,50,,,1,18,,100,20,,,,,,,,,60,50,5,,,¢ Gathers fish.,
fishing ship chinese,unit,,,,,,50,,,1,18,,100,20,,,,3,,,50,50,60,50,5,4.8,,Gathers fish.,
fishing ship egyptian,unit,,,,,,50,,,1,18,,100,20,,,,,,,,,60,50,5,4.8,,Gathers fish and can build a few buildings.,
fishing ship greek,unit,,,,,,50,,,1,18,,100,20,,,,,,,,,60,50,5,4.8,,Gathers fish.,
fishing ship japanese,unit,,,,,,50,,,1,18,,100,20,,,,,,,,,60,50,5,4.8,,Gathers fish.,
fishing ship norse,unit,,,,,,50,,,1,18,,100,20,,,,,,,,,60,50,5,4.8,,Gathers fish.,
frost giant,unit,,,,,,,200,22,4,20,,600,16,Melee Attack,2," MythUnit:  2.00,  Hero:  0.50",0.5,36,,,30,55,70,80,3.8,,Myth unit. A giant that can freeze other units with its breath. Good against human soldiers.,
gastraphetoros,unit,,,,,,100,60,,3,9,,80,28,Ranged Attack,2.1, Building:  20.00,23,,12,,,5,15,99,3.8,,Archer of Hades. Good against infantry and buildings. Benefits from ranged soldier improvements.,
gatherer,unit,,,,,50,,,,1,18,,55,14,Ranged Attack,2,,12,,12,,,25,35,99,3.8,,"Norse Gatherers can only collect resources and build Farms, Houses, and Ox Carts. Use infantry to build buildings.",
gazelle of set,unit,,,,,,,,3,1,,,15,14,Melee Attack,1.1, Building:  O.50,0.5,0.35,,,,35,,99,4,,worshipers. Good against human soldiers.,
ge halberdier,unit,,,,,50,,35,,2,14 eal,,95,16,Melee Attack,1.1," AbstractCavalry:  4.50,  Building:  1.00",0.75,5,,,,40,5,99,5.00 EEE,,Counter cavalry. Infantry only good against cavalry.,
giraffe of set,unit,,,,,,,,5,1,4 |,,25,14,Melee Attack,1.4, Building:  O.50,0.5,0.5,,,,35,5,99,4.00 EEE,,worshipers. Good against human soldiers.,
godi (hero),unit,,,,,,80,40,,3,16,,85,19,Ranged Attack,1.5, MythUnit:  6.00,17,,7,,,20,15,99,4.30 ee,,"Ranged Soldier, Hero. Good against myth units. Collects Relics.",
hamadryad,unit,,,,,,230,50,20,3,20 es,,600,16,Ranged Attack,1," MythUnit:  2.00,  Hero:  0.50",14,,30,,10,50,60,80,4.50 EEE,,nearby.,
harpy,unit,,,,,150,,,20,3,14 aS,,240,20,Ranged Attack,1.8," MythUnit:  2.00,  Hero:  0.25",10,,15,,,15,40,80,5.00 EEE,,enemy units. Can only be attacked by ranged units.,
hatamoto samurai,unit,,,,,105,,75,,0,,,190,16,Melee Attack,1.2," AbstractInfantry:  1.50,  Building:  1.60",0.5,,,16,,45,15,99,4.2,,Expensive but durable infantry summoned by Takemikazuchi. Good against whatever it can reach.,
helepolis,unit,,,,,,300,200,,5,24,,650,18,Wall Breaching,2,,10,,10,,50,5,90,85,2.9,,Siege weapon. A rolling tower that can transport units and fire ballista bolts at buildings.,
heracles (hero),unit,,,,,75,,175,2,3,20,,325,16,Melee Attack,1.2, MythUnit:  8.00,0.75,12,,,,25,30,99,5,,Hero. Good against myth units. Switches to a ranged attack to fight flying units. Collects Relics.,
hero of ragnarok dwarf,unit,,,,,80,,40,,2,,,130,16,Melee Attack,1.3," MythUnit:  4.00,  Building:  1.60",0.75,9,,,,25,15,99,4.3,,"Infantry, Hero. Summoned to participate in the final battle of the gods. Collects Relics.",
hero of ragnarok,unit,,,,,80,,40,,2,,,130,16,Melee Attack,1.3," MythUnit:  4.00,  Building:  1.60",0.75,9,,,,25,15,99,4.3,,"Infantry, Hero. Summoned to participate in the final battle of the gods. Collects Relics.",
hersir (hero),unit,,,,,80,,40,,3,16 |,,130,16,Melee Attack,1.2," MythUnit:  6.00,  Building:  1.00",0.75,14,,,,20,25,99,4.8,,"Infantry, Hero. Good against myth units. Generates Favor faster and collects Relics.",
hetairos,unit,,,,,50,,90,,3,8,,160,10,Melee Attack,1, AbstractArcher:  1.50,0.75,8,,,,5,40,99,5,,Cavalry of Poseidon. Deals area damage and is good against most units. Benefits from cavalry improvements.,
hippeus,unit,,,,,40,,80,,3,16 i,,155,12,Melee Attack,1, AbstractArcher:  1.50,0.75,10,,,,15,45,99,5.5,,Cavalry. Good against ranged soldiers and siege engines.,
hippocampus,unit,,,,,,,,,0,,,70,16,,,,,,,,,10,70,80,6.6,,"Poseidon's naval scout. Has no attack, but respawns if killed.",
hippolyta (hero),unit,,,,,,250,100,4,2,25,,325,22,Ranged Attack,1.7, MythUnit:  6.50,20,,15,,,25,35,99,4.3,,Hero. Has a ranged attack that is good against myth units.,
hippopotamus of set,unit,,,,,,,,7,2,,,100,14,Melee Attack,1, Building:  O.50,0.5,0.6,,,,10,20,99,4,,s worshipers. Good against human soldiers.,
hirdman,unit,,,,,40,,45,,2,14,,90,16,Melee Attack,1," AbstractCavalry:  4.00,  Building:  1.60",0.75,5,,,,35,5,99,4.8,,Counter cavalry. Infantry only good against cavalry.,
honengyo,unit,,,,,220,,,16,3,14,,1000,22,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",3,40,,,10,50,50,80,5.3,,Naval myth unit. Good against ships. Dives into the depths to resurface on enemy ships.,
hoplite,unit,,,,,50,,40,,2,12,,115,16,Melee Attack,1," AbstractCavalry:  1.25,  Building:  1.60",0.75,8,,,,40,15,99,4.3,,Infantry. Good against cavalry.,
house aztec,building,,,,,,50,,,,,15,450,9,,,,,,,,,40,90,5,,,additional population.,
hundun,unit,,,,,220,,,28,3,20,,1200,16,Melee Attack,1.33," MythUnit:  2.00,  Hero:  0.25",1,40,,,50,50,65,80,3.60 Fo,,Myth unit. Faceless being that can temporarily banish and terrify enemy units. Good against human soldiers.,
huskarl,unit,,,,,,75,40,,2,6,,115,16,Melee Attack,1," AbstractArcher:  2.00,  Building:  1.60",0.5,7,,,,10,60,99,5,,Counter to ranged soldiers. Infantry only good against ranged soldiers.,
hydra,unit,,,,,250,,,28,4,20,,800,16,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",2,30,,,18,60,50,80,4,,"Size -- 20,000+ lbs.",
hyena of set,unit,,,,,,,,4,1,4,,45,14,Melee Attack,1.8, Building:  O.50,0.5,0.7,,,,20,30,99,,,worshipers. Good against human soldiers.,
hypaspist,unit,,,,,60,,25,,2,9,,95,16,Melee Attack,1.2," AbstractInfantry:  5.00,  Building:  1.60",0.5,6,,,,35,10,99,4.3,,"Greek infantry are more expensive than those of other cultures, but they are also more powerful. The Hypaspist excels at fighting enemy infantry.",
icarus (hero),unit,,,,,,250,100,4,2,,,300,20,Ranged Attack,1.4, MythUnit:  8.00,16,,14,,,25,25,99,5.00 I,,Myth units. Collects Relics.,
iolaus (hero),unit,,,,,75,,175,2,3,20,,300,16,Melee Attack,1.1, MythUnit:  8.00,1,10,,,,30,30,99,,,attack to fight flying units. Collects Relics.,
jaguar rider,unit,,,,,65,,95,,3,8,,200,16,Melee Attack,1.3, AbstractArcher:  1.50,1,18,,,,20,40,99,,,,
jarl,unit,,,,,50,,80,,3,14,,190,16,Melee Attack,1,,0.75,11,,,,25,40,99,4.8,,Elite heavy cavalry. Good against human soldiers.,
jason (hero),unit,,,,,100,50,,,2,5,,200,16,Melee Attack,1.5, MythUnit:  12.00,0.75,2.25,,,,35,35,99,4.3,,Hero. Good against myth units. Switches to a ranged attack to fight flying units. Collects Relics.,
jiang ziya (hero),unit,,,,,150,250,,5,3,20,,275,20,Ranged Attack,1.2, MythUnit:  5.00,16,,8,4,,20,40,99,5.65,,"Say 150 & 250 «7 5 KA3 FE \ Ranged hero. Good against everything, but especially myth units. Collects Relics.",
jormun elver,unit,,,,,200,,,15,4,10,,1200,22,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.50",16,,60,,,45,60,80,6,,Myth unit. A sea serpent that breathes steam. Good against human soldiers and ships.,
jorogumo,unit,,,,,,,160,18,3,15,,360,16,Melee Attack,1.2," MythUnit:  3.00,  Hero:  0.25",1,16,,,,45,55,80,4,,Myth unit. A spider-woman hybrid with piercing limbs. Good against human soldiers.,
juggernaut,unit,,,,,,100,50,,3,16,,265,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2,,4,10,60,10,4.8,,Siege ship. Good against arrow ships and buildings.,
junkozosen,unit,,,,,,100,50,,3,16,,250,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2,,4,10,60,10,5.2,,Siege ship. Good against arrow ships and buildings.,
kamaitachi,unit,,,,,150,,,12,3,14,,300,16,Melee Attack,0.7," MythUnit:  3.00,  Hero:  0.25",0.5,12,,,,40,30,80,4.8,,slice and dice enemies. Good against human soldiers.,
katapeltes (hero),unit,,,,,105,,60,2,2,,,130,16,Melee Attack,1.2," MythUnit:  9.00,  AbstractCavalry:  4.00,  Building:  1.60",0.75,7,,,,35,10,99,4.8,,Counter cavalry. Infantry hero only good against cavalry and myth units.,
katapeltes,unit,,,,,60,,35,,2,10,,115,14,Melee Attack,1.2," AbstractCavalry:  4.00,  Building:  1.60",0.75,6,,,,35,10,99,4.5,,Counter cavalry. Infantry only good against cavalry.,
kebenit,unit,,,,,,90,45,,3,16,,290,20,Ranged Attack,1.5,,15,,8,,,50,30,5,5.5,,Arrow ship. Good against close-combat ships. Can transport units.,
king midas (hero),unit,,,,,,,350,5,4,,,620,16,Melee Attack,1.15, MythUnit:  6.00,0.75,,,16,,30,45,99,4.50 Pe,,to a ranged attack to fight flying units. Collects Relics.,
kitsune,unit,,,,,25,,,8,1,15,,100,15,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",1,1.5,,,,20,50,80,6,,"Myth unit. A scout with low attack, but can increase the speed of nearby friendly units.",
kraken,unit,,,,,300,,,20,4,10,,800,16,Melee Attack,3.6," MythUnit:  3.00,  Hero:  0.50",1,54,,,18,50,70,80,6,,Myth unit. Krakens can sink ships or throw soldiers. Good against human soldiers and ships.,
kuafu,unit,,,,,50,,100,8,3,42 as SSS),,175,16,Ranged Attack,2, AbstractTower:  4.00,6,,22,,5,30,40,99,3.60 EEE,,A giant villager who excels at gathering Wood and Gold. Can construct buildings very quickly.,
laborer,unit,,,,,50,,,,1,18,,55,14,Ranged Attack,2,,12,,12,,,25,35,99,3.8,,Egyptian Laborers gather resources and construct buildings.,
lampades,unit,,,,,,,200,20,4,20,,350,16,Ranged Attack,2," MythUnit:  2.00,  Hero:  0.25",14,,24,20,,40,50,80,4.30 Fe,,Myth unit. Can invoke chaos on units at range. Good against human soldiers.,
large scorpion (infested den),unit,,,,,100,,,3,,,,150,20,Melee Attack,1.1," MythUnit:  1.50,  Hero:  0.50,  AbstractVillager:  O.10",0.5,8,,,,10,35,80,,,,
